MCP,Date
1900.61,1
1670.24,2
1900.54,3
1900.46,4
1504.36,5
1500.91,6
1499.84,7
1499.56,8
1501.25,9
1500.61,10
599.52,11
599.28,12
796.66,13
796.72,14
1006.24,15
1006.35,16
1849.76,17
1849.78,18
1934.95,19
1979.36,20
2004.26,21
2048.84,22
2483.09,23
2504.16,24
2508.35,25
2596.27,26
2599.13,27
2585.65,28
2541.67,29
2499.83,30
2449.12,31
2392.84,32
2399.72,33
2399.97,34
2339.8,35
2400.08,36
2599.2,37
2599.2,38
2397.6,39
2366.72,40
2157.18,41
2121.25,42
2004.61,43
2004.69,44
2004.19,45
2004.22,46
2004.03,47
1849.85,48
749.29,49
749.5,50
900.61,51
900.66,52
199.96,53
1199.09,54
1199.07,55
1199.09,56
1499.17,57
1499.21,58
1199.85,59
1199.85,60
1199.4,61
1199.99,62
1199.49,63
1199.51,64
1499.35,65
1400.66,66
2002.22,67
2001.32,68
199.9,69
199.9,70
1479.56,71
1479.56,72
1499.77,73
2104.27,74
2500.35,75
2500.44,76
2799.37,77
2844.5,78
3220.75,79
3251.07,80
3602.74,81
3603.41,82
3599.01,83
3599.15,84
3729.28,85
3729.36,86
3299.18,87
3299.4,88
3299.59,89
3299.59,90
3299.32,91
3299.34,92
3099.54,93
3099.06,94
2799.66,95
3078.07,96
2000.47,97
2200.82,98
2299.38,99
2389.5,100
1920.73,101
1670.44,102
1950.73,103
1849.96,104
2299.25,105
2149.41,106
1849.9,107
2149.58,108
1849.75,109
1849.54,110
1849.16,111
1849.13,112
1849.31,113
1849.34,114
1849.8,115
1849.62,116
1849.73,117
1989.35,118
1849.38,119
1849.45,120
1849.12,121
1849.66,122
1849.91,123
2000.18,124
2200.29,125
2200.55,126
2149.92,127
1849.83,128
1849.53,129
1849.46,130
1849.02,131
1499.91,132
1849.11,133
1599.46,134
1199.4,135
1199.11,136
1300.05,137
1300.17,138
1200.78,139
1200.71,140
1199.6,141
1199.41,142
1199.48,143
1199.5,144
1199.37,145
1199.39,146
1199.33,147
1199.33,148
1199.82,149
1199.98,150
1400.38,151
1400.59,152
1199.91,153
1199.91,154
1199.85,155
1199.85,156
1199.94,157
1300.5,158
1630.39,159
1499.84,160
1849.58,161
1849.61,162
1849.75,163
1849.77,164
1849.66,165
1849.46,166
1499.83,167
1120.18,168
1849.29,169
1849.1,170
1849.41,171
1849.5,172
1849.77,173
1849.9,174
1849.24,175
1849.24,176
2220.33,177
2220.06,178
1849.82,179
1849.81,180
1849.53,181
1849.67,182
1849.24,183
1849.29,184
1849.81,185
1849.98,186
1849.96,187
1849.96,188
1849.97,189
1849.89,190
1849.9,191
1849.89,192
2500.19,193
2299.26,194
2399.72,195
2379.45,196
2250.34,197
2250.16,198
2003.92,199
2005.07,200
1849.64,201
1870.4,202
1850.69,203
1852.55,204
1853.07,205
1851.1,206
1670.72,207
1800.59,208
1800.52,209
1800.27,210
1499.72,211
1670.93,212
1849.21,213
1849.5,214
2100.09,215
1900.51,216
2250.52,217
2251.37,218
2200.76,219
2200.7,220
1849.85,221
1849.79,222
1849.8,223
1849.83,224
2003.12,225
2005.03,226
2507.09,227
2508.56,228
2799.54,229
2799.53,230
2799.71,231
2799.72,232
2599.22,233
2550.9,234
2499.02,235
2499.09,236
2499.15,237
2499.14,238
2257.2,239
2256.47,240
2257.28,241
2257.26,242
2490.11,243
2500.25,244
2599.35,245
2599.99,246
2624,247
2616.52,248
2740.02,249
2740.45,250
2740.81,251
2850.26,252
2850.6,253
2850.7,254
2850.23,255
2838.05,256
2844.17,257
2999.1,258
3139.06,259
2850.38,260
2660.99,261
2699.01,262
2650.5,263
2660.07,264
2549.47,265
2609.76,266
2499.61,267
2574.43,268
3220.81,269
3000.61,270
3249.55,271
3299.28,272
3500.19,273
3299.9,274
3677.8,275
3736.83,276
3888.55,277
4000.27,278
3977.76,279
3977.88,280
4000.37,281
4000.56,282
4000.15,283
4000.04,284
3736.47,285
3888.36,286
3736.88,287
3736.02,288
3299.57,289
3299.52,290
2749.75,291
2854.79,292
2739.42,293
2739.6,294
2649.96,295
2659.08,296
2599.21,297
2489.7,298
2259.08,299
2259.55,300
2099.47,301
2009.26,302
2099.01,303
2099.01,304
2101.24,305
2101.16,306
2249.31,307
2299.1,308
2299.89,309
2350.51,310
2549.09,311
2599.19,312
2699.22,313
2650.9,314
2800.73,315
2800.42,316
2700.93,317
2700.16,318
2800.72,319
2811.26,320
2856.51,321
3000.29,322
2699.52,323
2699.44,324
2725.53,325
2725.52,326
2699.46,327
2699.3,328
3007.16,329
3006.59,330
3088.09,331
3040.6,332
2739.94,333
2739.67,334
2749.38,335
2749.32,336
2758.13,337
2760.4,338
2838.7,339
2838.92,340
2760.49,341
2760.25,342
2760.89,343
2844.7,344
3100.23,345
3100.96,346
3100.02,347
3100.46,348
3100.24,349
3100.15,350
3100.72,351
3100.8,352
2997.21,353
3091.54,354
3000.21,355
2900.07,356
2610.92,357
2610.22,358
2599.39,359
2599.25,360
2489.01,361
2519.38,362
2838.71,363
3053.56,364
3600.64,365
3600.99,366
3800.23,367
3800.87,368
3856.74,369
3856.84,370
4000.78,371
4000.86,372
4210.24,373
4210.42,374
4310.35,375
4310.44,376
4000.98,377
4310.13,378
4500.34,379
4500.28,380
3856.46,381
3856.65,382
4000.62,383
4000.62,384
3429.2,385
3429.06,386
3429.33,387
3429.2,388
3835.53,389
3835.72,390
2699.87,397
2649.73,398
2599.93,399
2599.99,400
2599.79,401
2649.96,402
2649.84,403
3099.69,404
2749.59,405
3500.06,406
2479.15,407
2599.35,408
3746.79,409
3800.23,410
3900.89,411
4000.01,412
3835.84,413
3835.71,414
3835.46,415
3835.14,416
3299.16,417
3299.25,418
3164.66,419
2979.45,420
2999.24,421
2999.04,422
2999.51,423
2999.29,424
2959.66,425
2959.64,426
3007.28,427
3004.55,428
2998.81,429
2998.64,430
3199.18,431
3091.88,432
3088.36,433
3088.4,434
3300.09,435
3333.92,436
3019.06,437
3019.34,438
2949.91,439
2979.03,440
2899.18,441
2949.24,442
2880.03,443
2899.13,444
2749.66,445
2749.5,446
2949.09,447
2949.29,448
2844.88,449
2844.69,450
2844.5,451
2719.12,452
2749.07,453
2649.74,454
2649.03,455
2599.81,456
2600.02,457
2599.79,458
2599.91,459
2649.44,460
2650.66,461
2699.64,462
2750.41,463
3199.85,464
2750.94,465
3399.98,466
3769.24,467
3769.46,468
3835.44,469
3835.88,470
3943.62,471
3835.79,472
3769.48,473
3835.28,474
3769.76,475
3769.26,476
3299.58,477
3492.24,478
3495.88,479
3493.35,480
2844.77,481
2009.25,482
2599.63,483
2500.57,484
2100.48,485
2100.79,486
2800.38,487
2800.38,488
2699.55,489
2599.51,490
2749.57,491
2749.27,492
2649.47,493
2649.17,494
2749.95,495
2749.55,496
2749.67,497
2749.29,498
2699.72,499
2699.78,500
2774.53,501
2844.33,502
3236.94,503
3236.7,504
2844.15,505
2844.41,506
3164.04,507
3099.38,508
3236.72,509
3250.49,510
3236.91,511
3236.54,512
2709.91,513
2709.86,514
2969.66,515
2969.46,516
2844.9,517
2969.09,518
2844.54,519
2844.29,520
2660.08,521
2660.08,522
2660.78,523
2660.56,524
2699.76,525
2660.79,526
2650.47,527
2650.32,528
2549.07,529
2599.34,530
2599.93,531
2599.83,532
2599.23,533
2599.57,534
2499.79,535
2549.87,536
2599.1,537
2599.1,538
2660.08,539
2709.42,540
2803.07,541
2844.48,542
3100.05,543
3059.43,544
2844.38,545
3164.48,546
2740.84,547
2660.4,548
2479.63,549
2479.53,550
2399.02,551
2379.11,552
1499.91,553
1499.97,554
2479.38,555
2599.83,556
3049.86,557
3049.9,558
3049.59,559
3049.5,560
3299.69,561
3299.73,562
3691.04,563
3691.14,564
3999.07,565
3950.19,566
3950.46,567
3950.42,568
4300.75,569
4300.63,570
3700.27,571
3700.9,572
3729.87,573
3729.96,574
3769.17,575
3877.15,576
2844.58,577
2800.67,578
2709.43,579
2700.36,580
2700.39,581
2700.09,582
2844.31,583
2844.43,584
2500.03,585
2250.21,586
2250.7,587
2450.04,588
2399.1,589
1999.4,590
2350.73,591
2350.78,592
2400.38,593
2400.9,594
2400.19,595
2400.46,596
2399.87,597
2599.08,598
2599.99,599
2699.23,600
2868.52,601
2955.75,602
2899.88,603
3001.36,604
2999.07,605
2999.37,606
2999.43,607
2999.55,608
2899.21,609
2899.38,610
2780.5,611
2709.9,612
2499.55,613
2499.76,614
2599.67,615
2599.73,616
2650.43,617
2650.35,618
2650.05,619
2650.02,620
2580.08,621
2580.33,622
2009.02,623
1999.31,624
2251.43,625
2250.73,626
2009.55,627
2009.67,628
2249.34,629
2009.53,630
1899.16,631
1999.4,632
1499.37,633
1499.71,634
1999.29,635
2580.13,636
2580.79,637
2580.82,638
2599.22,639
2590.82,640
2499.07,641
2500.18,642
2590.68,643
2590.58,644
2499.05,645
1399.84,646
749.85,647
749.85,648
1399.34,649
2449.58,650
2399.73,651
2379.95,652
3002.8,653
3004.11,654
3299.29,655
3300,656
3236.54,657
3299.07,658
3299.33,659
3299.44,660
4500.43,661
3700.94,662
3299.32,663
3299.11,664
3099.14,665
3099.55,666
3800.42,667
3800.26,668
4492.91,669
4491.04,670
4003.55,671
4005.7,672
3500.36,673
3299.59,674
3500.03,675
2999.73,676
2804.84,677
2804.78,678
2799.01,679
2649.95,680
2799.82,681
2649.36,682
2844.94,683
2899.1,684
2709.11,685
2709.71,686
2804.22,687
2649.98,688
2600.83,689
2699.4,690
3003.72,691
3004.78,692
3500.4,693
3500.44,694
3919.04,695
3919.28,696
3299.57,697
3300.71,698
3919.71,699
3919.76,700
3919.46,701
3919.38,702
3684.61,703
3684.12,704
3220.37,705
3199.72,706
3199.96,707
3199.88,708
2669.58,709
2804.26,710
2599.27,711
2599.85,712
2599.33,713
2599.25,714
2599.12,715
2599.29,716
2579.64,717
2589.04,718
